Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Chicory: A Colorful Tale,25900,12950,50%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000075474
판타지 대장장이 상점 시뮬레이터 : Fantasy Blacksmith Shop Simulator,8900,1900,79%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000075469
Celeste,21500,5370,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000064972
이스 메모와르 -펠가나의 맹세-,48800,24400,50%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000065374
죠죠의 기묘한 모험 올 스타 배틀 R,59800,11800,80%,2025-08-30,2025/9/23 23:59,https://store.nintendo.co.kr/70010000054238
Rabbids 서유기: 광란의 파티,45500,9000,80%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000039786
Blackguards 2,12000,1200,90%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000051893
Lost Ruins,20500,8200,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000053235
Card Shark,22000,5500,75%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000053644
ASSASSIN’S CREED® THE EZIO COLLECTION,55000,13500,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000038688
Nexomon,11000,1650,85%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000043049
드래곤 퀘스천,4000,1000,75%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000041730
Worms Rumble,16800,1680,90%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037690
메르헨 포레스트,39800,7960,80%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000033870
루트 필름,69800,13960,80%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000031179
Yuppie Psycho: Executive Edition,19590,7840,60%,2025-08-30,2025/9/20 23:59,https://store.nintendo.co.kr/70010000030172
Coffee Talk,18300,13720,25%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000031727
하츠네 미쿠 Project DIVA MEGA39's,54800,27400,50%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000025367
Assassin’s Creed®: The Rebel Collection,49500,12300,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000019187
Rayman® Legends Definitive Edition,39800,8000,80%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000012132
LEGO® Party!,49500,44500,10%,2025-08-30,2025/10/1 00:59,https://store.nintendo.co.kr/70010000096457
Dragon Ruins,11400,10260,10%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000102066
Sexy Erotic Xtreme Club,39990,7990,80%,2025-08-30,2025/9/25 23:59,https://store.nintendo.co.kr/70010000104822
귀여운 틀린 그림 찾기2,3900,2900,26%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000103077
Close For The Night Horror,13890,6940,50%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000101119
Kimono Cats,12150,1990,84%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000092884
컴뱃 스트라이크(Combat Strike),29000,23200,20%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000101075
Hyperspaced,18500,14800,20%,2025-08-30,2025/9/16 23:59,https://store.nintendo.co.kr/70010000095179
BeatQuest - Rhythm Riders,6790,1000,85%,2025-08-30,2025/8/30 23:59,https://store.nintendo.co.kr/70010000097166
철도관제 시뮬레이터,27700,20770,25%,2025-08-30,2025/9/12 23:59,https://store.nintendo.co.kr/70010000092960
Make it! Sushi,8000,5000,38%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000097358
Pocket Foosball 추억의 축구필통,8500,1000,88%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000096982
Max Cyber Shooter,11400,1000,91%,2025-08-30,2025/9/6 23:59,https://store.nintendo.co.kr/70010000096447
Sunseed Island,16100,1990,88%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000094161
숨은 물건찾기 마스터: 여긴 이스트에그가 없어,10440,5220,50%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000096408
연료 스테이션 시뮬레이터 Fuel Station Simulator,9900,2900,71%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000092720
에덴 서바이버스 (Eden Survivors),5500,1100,80%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000093762
Candy Puzzles,5550,1500,73%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000080518
Drift Legends 2,7010,1000,86%,2025-08-30,2025/9/16 23:59,https://store.nintendo.co.kr/70010000085688
항공기 비행 시뮬레이터: 위험한 착륙 (Airplane Flight Simulator : Dangerous Landings),25000,3900,84%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000089768
Bunker Builder & Construction Simulator : 벙커 빌더 & 건설 시뮬레이터,9990,3490,65%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000090275
안나의 좀비 오디세이(Anne's Zombie Odyssey),19000,11970,37%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000089625
Drum Pad,8250,1990,76%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000088921
러브인 로그인,19800,17820,10%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000080359
러브 딜리버리,19800,17820,10%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000079922
무지개 내리는 바다,20020,14010,30%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000078879
The Star Named EOS - 별을 향한 여정,16500,11550,30%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000072432
WEJAM,11990,1190,90%,2025-08-30,2025/9/17 23:59,https://store.nintendo.co.kr/70010000070915
Craft Archeology Simulator: Pyramid to Polar,16990,2890,83%,2025-08-30,2025/9/6 23:59,https://store.nintendo.co.kr/70010000080113
Let Me Sleep,3950,1000,75%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000076028
트럭 시뮬레이터 시티 딜리버리 (Truck Simulator City Delivery),21000,3900,81%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000076932
도쿄 쿠킹,23260,1990,91%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000076395
라스트 4 서바이브 아웃브레이크(Last 4 Survive: The Outbreak),19000,2850,85%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000077194
Hentai Sudoku,26060,1990,92%,2025-08-30,2025/9/20 23:59,https://store.nintendo.co.kr/70010000074835
Batman: Arkham Knight,33800,13520,60%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000045913
Batman: Arkham City,33800,13520,60%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000045908
트럭 시뮬레이터: 유럽 도로 (Truck Simulator: European Roads),26000,2900,89%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000072067
스프라우트 밸리,23590,1990,92%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000067094
Sword & Fairy Inn 2,22500,7870,65%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000059754
전장의 푸가2,50400,25200,50%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000056843
Coffee Talk Episode 2: Hibiscus & Butterfly,18600,13950,25%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000057839
HELLO KITTY와 친구들 해피 퍼레이드 (HAPPINESS PARADE),25780,12890,50%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000060858
Figment 2: Creed Valley,25590,1990,92%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000046996
ONI : 최고의 오니를 향한 여정,41800,12540,70%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000057982
Rumble Sus,4900,3400,31%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000059923
A Space for the Unbound,28840,21630,25%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000057437
Ship of Fools,25200,10080,60%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000052585
Geometric Sniper,3400,1000,71%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000050517
VARIOUS DAYLIFE,33800,13520,60%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000051128
Radiant Silvergun,22800,8890,61%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000027732
LIVE A LIVE,59800,23920,60%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000050943
Ice Cream Surfer,8000,1600,80%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000049811
패밀리체스,24730,1990,92%,2025-08-30,2025/9/18 23:59,https://store.nintendo.co.kr/70010000047379
